iter	Passed	Remaining
0	6	6749
1	13	6902
2	20	6761
3	27	6766
4	34	6875
5	41	6834
6	47	6714
7	54	6698
8	63	7015
9	78	7748
10	90	8167
11	106	8754
12	116	8845
13	129	9115
14	150	9896
15	159	9812
16	167	9666
17	174	9515
18	182	9439
19	188	9253
20	196	9141
21	203	9067
22	210	8950
23	218	8890
24	225	8807
25	233	8734
26	240	8679
27	248	8619
28	256	8577
29	267	8659
30	278	8692
31	287	8681
32	299	8766
33	314	8930
34	329	9092
35	345	9263
36	359	9347
37	366	9276
38	375	9242
39	382	9184
40	389	9109
41	397	9060
42	404	9013
43	412	8962
44	419	8907
45	427	8858
46	434	8809
47	440	8744
48	448	8698
49	455	8654
50	465	8655
51	475	8668
52	485	8666
53	495	8683
54	508	8734
55	524	8845
56	540	8934
57	555	9023
58	569	9086
59	577	9045
60	585	9016
61	593	8975
62	600	8933
63	608	8892
64	615	8852
65	623	8819
66	630	8782
67	638	8754
68	646	8719
69	654	8690
70	661	8654
71	671	8655
72	691	8779
73	709	8872
74	723	8928
75	737	8970
76	751	9011
77	763	9021
78	773	9016
79	782	8994
80	789	8954
81	796	8919
82	804	8888
83	811	8851
84	818	8814
85	825	8778
86	833	8742
87	840	8712
88	847	8678
89	854	8644
90	862	8614
91	869	8584
92	884	8627
93	896	8642
94	910	8675
95	925	8716
96	939	8749
97	954	8786
98	967	8807
99	974	8770
100	990	8813
101	999	8800
102	1007	8771
103	1015	8751
104	1026	8750
105	1037	8746
106	1047	8745
107	1056	8728
108	1069	8739
109	1084	8778
110	1098	8798
111	1112	8821
112	1124	8826
113	1139	8855
114	1151	8860
115	1165	8881
116	1180	8907
117	1194	8928
118	1208	8944
119	1215	8912
120	1222	8883
121	1230	8852
122	1237	8821
123	1244	8790
124	1251	8760
125	1259	8738
126	1266	8708
127	1278	8707
128	1290	8714
129	1303	8725
130	1319	8755
131	1335	8784
132	1350	8803
133	1367	8836
134	1381	8849
135	1392	8848
136	1406	8857
137	1417	8856
138	1427	8843
139	1438	8836
140	1450	8837
141	1460	8825
142	1469	8809
143	1483	8820
144	1505	8876
145	1523	8909
146	1542	8951
147	1560	8982
148	1579	9021
149	1591	9021
150	1603	9016
151	1612	8998
152	1624	8994
153	1634	8978
154	1643	8958
155	1654	8948
156	1664	8938
157	1672	8914
158	1685	8915
159	1701	8932
160	1717	8950
161	1738	8990
162	1757	9025
163	1774	9046
164	1788	9052
165	1803	9058
