iter	Logloss
0	0.6873969672
1	0.6817545241
2	0.6763065517
3	0.6710278309
4	0.6663049452
5	0.6617697439
6	0.6576181805
7	0.6535138222
8	0.6497004858
9	0.646317304
10	0.64288696
11	0.6397482253
12	0.6366483938
13	0.6336513965
14	0.6309116996
15	0.628555223
16	0.626102941
17	0.6236599044
18	0.6216268266
19	0.6196159206
20	0.6175527091
21	0.6160920519
22	0.6142142144
23	0.6125457916
24	0.6111003513
25	0.6095121271
26	0.608102228
27	0.6067524784
28	0.6053716589
29	0.6041719985
30	0.6029048608
31	0.6016901746
32	0.6006520058
33	0.5997772217
34	0.5989317697
35	0.5978651095
36	0.5968458628
37	0.5960104044
38	0.5954328032
39	0.5945802984
40	0.5938315451
41	0.5930486345
42	0.5924131212
43	0.5917732271
44	0.5911461255
45	0.5905985499
46	0.5900372007
47	0.5895581986
48	0.5890341899
49	0.5886265448
50	0.5881622211
51	0.587689836
52	0.5872967772
53	0.5869235129
54	0.5865383186
55	0.5861393366
56	0.5857132849
57	0.5854095797
58	0.5849804936
59	0.5846682768
60	0.5843035372
61	0.5840169127
62	0.5837286328
63	0.5833934774
64	0.5831416169
65	0.5828517531
66	0.5825589512
67	0.5823171993
68	0.5821256424
69	0.5818609219
70	0.5816359277
71	0.5813917311
72	0.5812218742
73	0.5809965162
74	0.5808181131
75	0.580583748
76	0.5803608353
77	0.5801403634
78	0.579915059
79	0.5796902109
80	0.5794838392
81	0.5793230307
82	0.5791465741
83	0.5789836932
84	0.5788019438
85	0.5785870634
86	0.5784189977
87	0.5782524264
88	0.5781292502
89	0.5779628715
90	0.5778662297
91	0.5776935207
92	0.5775459256
93	0.5774155637
94	0.5772942917
95	0.577148559
96	0.5770382135
97	0.5769017653
98	0.5767715868
99	0.5766185384
100	0.5764998593
101	0.5763473737
102	0.5762241643
103	0.576124082
104	0.5760091033
105	0.5758878511
106	0.5757914512
107	0.5757170997
108	0.5756114332
109	0.5755316615
110	0.5754132253
111	0.5753301573
112	0.5752402498
113	0.5751294401
114	0.5750543565
115	0.5749637668
116	0.5748658184
117	0.5747687412
118	0.5746967273
119	0.5746125523
120	0.5744986885
121	0.574420659
122	0.5743370467
123	0.5742423437
124	0.5741434651
125	0.5740696665
126	0.5739780444
127	0.5738912919
128	0.5737959138
129	0.5737267492
130	0.5736682188
131	0.5735708511
132	0.5734944514
133	0.5734524134
134	0.5733754838
135	0.5732834245
136	0.5731949926
137	0.5731132151
138	0.5729958942
139	0.5729366417
140	0.5728436791
141	0.5727746924
142	0.5727364501
143	0.5726568459
144	0.572553068
145	0.5724889252
146	0.5724137558
147	0.5723614025
148	0.5723020801
149	0.5722129403
150	0.5721578525
151	0.5721210973
152	0.5720251103
153	0.571965602
154	0.5718864089
155	0.5718174823
156	0.5717517659
157	0.5717137283
158	0.5716279439
159	0.5715646165
160	0.5715021671
161	0.5714195945
162	0.5713554366
163	0.5712814557
164	0.5712553806
165	0.5711706776
166	0.5711136507
167	0.57107931
168	0.5710150357
169	0.570938105
170	0.5708560882
171	0.570779144
172	0.5707073828
173	0.5706593937
174	0.5705867226
175	0.5705560045
176	0.5704997549
177	0.5704332247
178	0.5703574235
179	0.5703193779
180	0.5702514461
181	0.5701839577
182	0.5701244703
183	0.5700305315
184	0.569958068
185	0.5699210979
186	0.5698625652
187	0.5697838131
188	0.5697175678
189	0.5696821154
190	0.5696341316
191	0.5695746292
192	0.5695288631
193	0.5695041574
194	0.5694399415
195	0.5693705854
196	0.5693284475
197	0.5692722007
198	0.5692173473
199	0.5691741526
200	0.5691202178
201	0.5691033685
202	0.5690609891
203	0.5689997823
204	0.5689759203
205	0.5689447552
206	0.5688991693
207	0.5688582338
208	0.5687993824
209	0.5687516667
210	0.5687362191
211	0.5686824569
212	0.5686526324
213	0.568621235
214	0.5685799544
215	0.5685464287
216	0.5684854824
217	0.5684309546
218	0.5683581648
219	0.5682590861
220	0.5682213366
221	0.5681455433
222	0.5680775379
223	0.5680285933
224	0.5679710672
225	0.5679325569
226	0.5678872837
227	0.567842384
228	0.5677533374
229	0.5677248838
230	0.5676762735
231	0.5676126219
232	0.5675344628
233	0.5674920608
234	0.5674531462
235	0.5674068409
236	0.567356185
237	0.5672933585
238	0.5672481891
239	0.567227491
240	0.5671913383
241	0.567147809
242	0.5670681993
243	0.5670134255
244	0.5669655321
245	0.5669246107
246	0.5668814272
247	0.5668167649
248	0.5667749297
249	0.5667293077
250	0.5666989874
251	0.566656646
252	0.5666038798
253	0.5665637648
254	0.5665575763
255	0.5665361874
256	0.5664996485
257	0.5664873607
258	0.5664625821
259	0.5664310607
260	0.5663492521
261	0.566308596
262	0.566304178
263	0.5662811752
264	0.5662281106
265	0.5661813772
266	0.5661619011
267	0.5660847672
268	0.5659918971
269	0.5659630739
270	0.5659220554
271	0.5658644071
272	0.5657991245
273	0.5657584632
274	0.5657137254
275	0.5656606886
276	0.5655749581
277	0.5655236325
278	0.5654635625
279	0.5654133565
280	0.5653607626
281	0.5653368113
282	0.5652565139
283	0.5652073756
284	0.5651712996
285	0.5651392353
286	0.5650978791
287	0.5650450248
288	0.5649673043
289	0.5648911628
290	0.564841029
291	0.564787906
292	0.5647422874
293	0.564696206
294	0.5646653602
295	0.5646098129
296	0.5645868558
297	0.5645282458
298	0.5644772998
299	0.5644322141
300	0.5643779895
301	0.5643508171
302	0.5643037412
303	0.564262118
304	0.5642233402
305	0.5641692489
306	0.5641204248
307	0.5640649321
308	0.5640351448
309	0.5639890676
310	0.5639711206
311	0.5639314863
312	0.563852691
313	0.563795935
314	0.5637450104
315	0.5637037702
316	0.5636125329
317	0.563573336
318	0.5635307068
319	0.563484134
320	0.5634485024
321	0.5633853103
322	0.5633108717
323	0.5632636143
324	0.5632147428
325	0.5631723514
326	0.5631327982
327	0.5630820269
328	0.5629656532
329	0.5629196035
330	0.5628631743
331	0.5628178479
332	0.5627765177
333	0.5627419481
334	0.5626972925
335	0.5626259137
336	0.5625207119
337	0.5624834988
338	0.5623893681
339	0.5623428877
340	0.562323232
341	0.5622564554
342	0.562165507
343	0.5621012218
344	0.5620294899
345	0.5619753913
346	0.5619218313
347	0.5618587721
348	0.5618142876
349	0.561752037
350	0.5616604261
351	0.5615996997
352	0.5615650884
353	0.5615083665
354	0.5614735258
355	0.5614048801
356	0.561352889
357	0.5612398031
358	0.5612227576
359	0.561164876
360	0.5610920273
361	0.5610237916
362	0.5610031733
363	0.5609461209
364	0.560868398
365	0.5607986983
366	0.5607523786
367	0.5606700179
368	0.5605954922
369	0.5604886862
370	0.5604345862
371	0.5603892037
372	0.5603242216
373	0.5602786022
374	0.5601882152
375	0.5601348798
376	0.560105407
377	0.5600867113
378	0.5600379977
379	0.5599868416
380	0.5598879512
381	0.5598196619
382	0.5597501657
383	0.5596996966
384	0.5596484441
385	0.5596167632
386	0.5595327046
387	0.5594907255
388	0.559417149
389	0.5593445115
390	0.5592875025
391	0.5591975915
392	0.5591423704
393	0.5590689534
394	0.558972686
395	0.5589100372
396	0.5588634595
397	0.5588047226
398	0.5587351064
399	0.5586952121
400	0.5585988709
401	0.55852011
402	0.558483432
403	0.5584315748
404	0.5583561112
405	0.5582819006
406	0.5582045197
407	0.558133669
408	0.5580620216
409	0.557972467
