iter	Passed	Remaining
412	3495	4968
413	3502	4957
414	3510	4948
415	3516	4937
416	3523	4926
417	3530	4915
418	3537	4905
419	3543	4894
420	3550	4883
421	3558	4873
422	3566	4864
423	3575	4857
424	3585	4850
425	3593	4842
426	3602	4834
427	3616	4832
428	3627	4827
429	3638	4822
430	3647	4814
431	3658	4810
432	3669	4805
433	3679	4798
434	3689	4792
435	3698	4784
436	3708	4777
437	3714	4766
438	3721	4755
439	3728	4745
440	3735	4734
441	3741	4723
442	3747	4712
443	3754	4702
444	3761	4691
445	3768	4680
446	3775	4670
447	3782	4661
448	3789	4650
449	3796	4639
450	3803	4629
451	3815	4625
452	3823	4617
453	3834	4611
454	3844	4604
455	3853	4597
456	3862	4589
457	3872	4583
458	3883	4576
459	3891	4568
460	3902	4562
461	3910	4553
462	3918	4544
463	3925	4534
464	3933	4525
465	3940	4515
466	3947	4504
467	3953	4494
468	3960	4484
469	3966	4473
470	3973	4462
471	3980	4452
472	3987	4442
473	3995	4434
474	4002	4423
475	4012	4417
476	4021	4409
477	4033	4405
478	4045	4399
479	4053	4391
480	4065	4386
481	4075	4380
482	4087	4375
483	4097	4368
484	4104	4358
485	4114	4351
486	4120	4340
487	4128	4331
488	4134	4320
489	4142	4311
490	4148	4300
491	4156	4291
492	4163	4281
493	4170	4271
494	4177	4262
495	4184	4252
496	4191	4242
497	4198	4232
498	4205	4222
499	4211	4211
500	4222	4205
501	4232	4198
502	4243	4192
503	4253	4185
504	4265	4181
505	4276	4175
506	4285	4167
507	4296	4161
508	4307	4154
509	4315	4146
510	4323	4137
511	4330	4127
512	4337	4117
513	4344	4107
514	4350	4097
515	4357	4087
516	4366	4079
517	4373	4069
518	4380	4059
519	4387	4050
520	4394	4040
521	4401	4030
522	4407	4019
523	4413	4009
524	4420	3999
525	4428	3990
526	4438	3983
527	4446	3974
528	4457	3968
529	4468	3962
530	4477	3954
531	4488	3948
532	4497	3940
533	4506	3933
534	4515	3924
535	4523	3916
536	4531	3907
537	4538	3897
538	4545	3887
539	4552	3878
540	4559	3868
541	4566	3858
542	4572	3848
543	4579	3838
544	4586	3828
545	4592	3818
546	4599	3809
547	4606	3799
548	4613	3789
549	4620	3780
550	4631	3773
551	4640	3765
552	4650	3759
553	4663	3754
554	4673	3747
555	4684	3741
556	4693	3732
557	4703	3725
558	4713	3718
559	4722	3710
560	4729	3701
561	4736	3691
562	4743	3681
563	4750	3672
564	4756	3662
565	4763	3652
566	4770	3642
567	4776	3633
568	4783	3623
569	4790	3613
570	4797	3604
571	4803	3594
572	4810	3585
573	4817	3575
574	4827	3567
575	4836	3560
576	4848	3554
577	4859	3548
578	4867	3539
579	4879	3533
580	4889	3525
581	4897	3517
582	4908	3510
583	4916	3502
584	4926	3494
585	4933	3485
586	4940	3476
587	4947	3466
588	4954	3457
589	4961	3447
590	4968	3438
591	4975	3428
592	4984	3421
593	4991	3412
594	4998	3402
595	5005	3393
596	5013	3384
597	5020	3374
598	5028	3366
599	5038	3358
600	5045	3349
601	5061	3346
602	5072	3339
603	5083	3332
604	5094	3326
605	5105	3319
606	5113	3310
607	5123	3303
608	5129	3293
609	5137	3284
610	5143	3274
611	5151	3266
612	5158	3256
613	5164	3246
614	5171	3237
615	5177	3227
616	5184	3218
617	5191	3208
618	5198	3199
619	5204	3189
620	5210	3180
621	5217	3170
622	5225	3162
623	5233	3153
624	5243	3145
625	5254	3139
626	5265	3132
627	5274	3124
628	5284	3117
629	5293	3109
630	5301	3100
631	5309	3091
632	5320	3084
633	5330	3077
634	5337	3068
635	5345	3059
636	5353	3050
637	5359	3041
638	5366	3031
639	5373	3022
640	5380	3013
641	5386	3003
642	5393	2994
643	5399	2984
644	5406	2975
645	5412	2966
646	5419	2956
647	5428	2949
648	5437	2941
649	5446	2932
650	5457	2925
651	5468	2918
652	5478	2911
653	5487	2903
654	5498	2896
655	5508	2888
656	5516	2879
657	5527	2872
658	5533	2863
659	5542	2855
660	5548	2845
661	5556	2836
662	5562	2827
663	5569	2818
664	5576	2809
665	5582	2799
666	5590	2790
667	5596	2781
668	5603	2772
669	5610	2763
670	5616	2754
671	5624	2745
672	5633	2737
673	5642	2729
674	5651	2721
675	5664	2714
676	5674	2707
677	5685	2700
678	5697	2693
679	5708	2686
680	5718	2678
681	5728	2671
682	5735	2662
683	5742	2652
684	5749	2643
685	5756	2635
686	5763	2625
687	5771	2617
688	5777	2607
689	5784	2598
690	5790	2589
691	5797	2580
692	5804	2571
693	5811	2562
694	5818	2553
695	5824	2544
696	5834	2536
697	5844	2528
698	5855	2521
699	5864	2513
700	5875	2506
701	5888	2499
702	5897	2491
703	5908	2484
704	5918	2476
705	5927	2468
706	5935	2459
707	5941	2450
708	5949	2441
709	5955	2432
710	5962	2423
711	5971	2415
712	5977	2406
713	5985	2397
714	5991	2388
715	5998	2379
716	6005	2370
717	6012	2361
718	6019	2352
719	6028	2344
720	6037	2336
721	6048	2328
722	6057	2320
723	6067	2313
724	6077	2305
725	6087	2297
726	6098	2290
727	6108	2282
728	6118	2274
729	6127	2266
730	6134	2257
731	6141	2248
732	6148	2239
733	6154	2230
734	6162	2221
735	6168	2212
736	6175	2203
737	6181	2194
738	6188	2185
739	6195	2176
740	6201	2167
741	6208	2158
742	6215	2149
743	6221	2140
744	6231	2132
745	6244	2126
746	6254	2118
747	6263	2110
748	6273	2102
749	6282	2094
750	6294	2086
751	6307	2080
752	6318	2072
753	6331	2065
754	6344	2058
755	6354	2050
756	6364	2042
757	6374	2035
758	6382	2026
759	6390	2017
760	6396	2009
761	6404	2000
762	6411	1991
763	6420	1983
764	6432	1975
765	6446	1969
766	6460	1962
767	6474	1955
768	6487	1948
769	6504	1942
770	6514	1934
771	6525	1927
772	6533	1918
773	6541	1910
774	6548	1901
775	6557	1892
776	6564	1884
777	6572	1875
778	6579	1866
779	6587	1857
780	6594	1849
781	6602	1840
782	6609	1831
783	6617	1823
784	6626	1814
785	6638	1807
786	6652	1800
787	6662	1792
788	6673	1784
789	6685	1777
790	6697	1769
791	6709	1762
792	6719	1753
793	6728	1745
794	6736	1736
795	6743	1728
796	6752	1719
797	6759	1711
798	6767	1702
799	6774	1693
800	6782	1685
801	6789	1676
802	6797	1667
803	6804	1658
804	6812	1650
805	6819	1641
806	6830	1633
807	6841	1625
808	6851	1617
809	6862	1609
810	6872	1601
811	6886	1594
812	6897	1586
813	6909	1578
814	6917	1570
815	6926	1561
816	6933	1552
817	6941	1544
818	6948	1535
819	6956	1526
820	6965	1518
821	6973	1510
822	6980	1501
823	6987	1492
824	6994	1483
825	7001	1474
826	7009	1466
827	7016	1457
828	7027	1449
829	7037	1441
830	7047	1433
831	7059	1425
832	7073	1418
833	7083	1409
834	7094	1402
835	7105	1393
836	7115	1385
837	7125	1377
838	7132	1368
839	7140	1360
840	7147	1351
841	7155	1342
842	7163	1334
843	7170	1325
844	7178	1316
845	7185	1307
846	7192	1299
847	7199	1290
848	7206	1281
849	7213	1272
850	7224	1264
851	7233	1256
852	7240	1247
853	7249	1239
854	7257	1230
855	7267	1222
856	7279	1214
857	7289	1206
858	7300	1198
859	7310	1190
860	7317	1181
861	7327	1173
862	7334	1164
863	7342	1155
864	7349	1146
865	7356	1138
866	7363	1129
867	7370	1120
868	7377	1112
869	7384	1103
870	7392	1094
871	7399	1086
872	7406	1077
873	7417	1069
874	7427	1061
875	7439	1053
876	7449	1044
877	7459	1036
878	7468	1028
879	7481	1020
880	7492	1012
881	7502	1003
882	7513	995
883	7521	986
884	7528	978
885	7536	969
886	7543	961
887	7550	952
888	7557	943
889	7564	934
890	7572	926
891	7579	917
892	7587	909
893	7593	900
894	7601	891
895	7610	883
896	7620	875
897	7631	866
898	7641	858
899	7653	850
900	7662	841
901	7673	833
902	7684	825
903	7692	816
904	7704	808
905	7712	800
906	7720	791
907	7726	782
908	7734	774
909	7741	765
910	7749	757
911	7756	748
912	7763	739
913	7770	731
914	7777	722
915	7785	713
916	7792	705
917	7799	696
918	7807	688
919	7816	679
920	7825	671
921	7836	662
922	7847	654
923	7857	646
924	7869	638
925	7881	629
926	7890	621
927	7901	613
928	7909	604
929	7917	595
930	7924	587
931	7932	578
932	7939	570
933	7949	561
934	7956	553
935	7963	544
936	7970	535
937	7977	527
938	7984	518
939	7991	510
940	7998	501
941	8005	492
942	8012	484
943	8019	475
944	8030	467
945	8039	458
946	8048	450
947	8060	442
948	8069	433
949	8080	425
950	8094	417
951	8102	408
952	8113	400
953	8122	391
954	8129	383
955	8137	374
956	8144	365
957	8151	357
958	8158	348
959	8165	340
960	8172	331
961	8179	323
962	8186	314
963	8193	305
964	8201	297
965	8208	288
966	8215	280
967	8224	271
968	8233	263
969	8242	254
970	8252	246
971	8263	238
972	8274	229
973	8284	221
974	8293	212
975	8305	204
976	8314	195
977	8323	187
978	8330	178
979	8338	170
980	8345	161
981	8353	153
982	8359	144
983	8367	136
984	8373	127
985	8380	118
986	8387	110
987	8394	101
988	8401	93
989	8408	84
990	8415	76
991	8421	67
992	8432	59
993	8442	50
994	8452	42
995	8463	33
996	8472	25
997	8483	17
998	8497	8
999	8508	0
