iter	Passed	Remaining
0	6	6671
1	12	6459
2	19	6413
3	26	6679
4	33	6707
5	40	6667
6	46	6664
7	53	6645
8	63	7037
9	78	7813
10	85	7697
11	98	8139
12	109	8301
13	124	8740
14	134	8844
15	148	9159
16	159	9227
17	167	9152
18	175	9084
19	184	9054
20	193	9042
21	201	8973
22	209	8911
23	217	8855
24	225	8802
25	233	8757
26	242	8733
27	250	8690
28	260	8725
29	269	8708
30	284	8890
31	301	9111
32	313	9189
33	330	9375
34	345	9518
35	358	9590
36	366	9541
37	374	9490
38	383	9451
39	391	9387
40	399	9339
41	409	9333
42	419	9325
43	427	9282
44	435	9232
45	443	9198
46	453	9204
47	470	9332
48	482	9362
49	495	9408
50	508	9460
51	519	9463
52	529	9454
53	542	9508
54	554	9523
55	564	9516
56	572	9466
57	581	9437
58	588	9389
59	597	9355
60	604	9307
61	612	9265
62	619	9219
63	627	9177
64	635	9139
65	643	9103
66	652	9085
67	666	9136
68	681	9191
69	695	9240
70	707	9261
71	723	9321
72	737	9361
73	753	9430
74	764	9425
75	772	9394
76	780	9358
77	788	9324
78	796	9287
79	803	9236
80	810	9195
81	818	9158
82	825	9122
83	835	9113
84	843	9076
85	851	9052
86	863	9061
87	880	9122
88	893	9150
89	909	9193
90	923	9229
91	939	9276
92	954	9312
93	962	9277
94	972	9263
95	979	9226
96	988	9199
97	995	9164
98	1003	9128
99	1010	9092
100	1017	9060
101	1025	9026
102	1032	8994
103	1040	8960
104	1047	8932
105	1060	8948
106	1075	8979
107	1090	9009
108	1105	9034
109	1121	9073
110	1130	9057
111	1141	9053
112	1156	9077
113	1165	9055
114	1173	9029
115	1181	9006
116	1189	8976
117	1197	8950
118	1205	8924
119	1213	8896
120	1220	8867
121	1228	8841
122	1236	8817
123	1244	8788
124	1251	8762
125	1259	8739
126	1273	8752
127	1289	8782
128	1305	8811
129	1321	8841
130	1333	8846
131	1348	8867
132	1368	8921
133	1383	8940
134	1399	8964
135	1413	8978
136	1428	9000
137	1446	9036
138	1460	9044
139	1479	9090
140	1496	9117
141	1518	9176
142	1536	9209
143	1552	9226
144	1567	9240
145	1580	9246
146	1591	9234
147	1600	9214
148	1609	9190
149	1619	9177
150	1628	9156
151	1639	9144
152	1648	9123
153	1656	9098
154	1666	9084
155	1678	9083
156	1692	9088
157	1709	9108
158	1722	9110
159	1736	9119
160	1751	9128
161	1765	9131
162	1775	9114
163	1782	9087
164	1791	9064
165	1798	9037
166	1806	9011
167	1815	8988
168	1824	8969
169	1832	8948
170	1840	8924
171	1848	8900
172	1856	8876
173	1864	8851
174	1874	8838
175	1890	8851
176	1904	8857
177	1919	8865
178	1932	8863
179	1945	8862
180	1958	8860
181	1970	8857
182	1979	8836
183	1989	8821
184	1997	8797
185	2005	8776
186	2013	8753
187	2021	8732
188	2029	8707
189	2037	8684
190	2044	8661
191	2053	8639
192	2061	8617
193	2068	8592
194	2074	8565
195	2086	8557
196	2102	8568
197	2113	8562
198	2129	8573
199	2143	8575
200	2159	8584
201	2175	8594
202	2186	8585
203	2194	8563
204	2203	8545
205	2211	8525
206	2220	8507
207	2229	8487
208	2236	8465
209	2245	8446
210	2252	8423
211	2260	8403
212	2268	8380
213	2276	8360
214	2290	8361
215	2306	8372
