iter	Passed	Remaining
0	163	163474
1	171	85551
2	179	59535
3	185	46225
4	192	38245
5	198	32961
6	206	29255
7	213	26457
8	219	24172
9	226	22461
10	233	20994
11	240	19828
12	248	18862
13	256	18058
14	262	17264
15	268	16517
16	275	15924
17	282	15414
18	288	14914
19	294	14444
20	300	13991
21	306	13642
22	312	13282
23	319	12977
24	327	12778
25	337	12629
26	343	12361
27	349	12145
28	356	11931
29	363	11753
30	374	11721
31	391	11846
32	407	11950
33	426	12129
34	442	12210
35	460	12330
36	473	12321
37	481	12178
38	489	12073
39	499	11992
40	509	11915
41	518	11821
42	527	11733
43	535	11643
44	542	11503
45	548	11385
46	556	11279
47	563	11175
48	571	11095
49	587	11159
50	599	11154
51	611	11141
52	627	11205
53	642	11264
54	656	11282
55	669	11279
56	676	11186
57	685	11125
58	692	11039
59	699	10966
60	707	10888
61	713	10795
62	720	10717
63	727	10642
64	734	10567
65	741	10499
66	749	10442
67	757	10382
68	766	10337
69	773	10277
70	786	10291
71	799	10299
72	815	10350
73	824	10322
74	843	10406
75	855	10401
76	868	10414
77	879	10395
78	887	10350
79	895	10301
80	902	10243
81	911	10205
82	918	10151
83	926	10106
84	933	10050
85	940	9998
86	947	9946
87	955	9899
88	964	9869
89	971	9821
90	986	9855
91	1003	9903
92	1023	9978
93	1042	10050
94	1064	10140
95	1077	10149
96	1087	10121
97	1094	10069
98	1101	10025
99	1109	9982
100	1115	9933
101	1122	9885
102	1130	9845
103	1138	9804
104	1144	9759
105	1152	9720
106	1159	9677
107	1167	9641
108	1178	9635
109	1191	9641
110	1206	9663
111	1219	9671
112	1230	9661
113	1244	9672
114	1261	9706
115	1281	9762
116	1288	9725
117	1295	9684
118	1303	9650
119	1309	9605
120	1316	9562
121	1322	9520
122	1329	9481
123	1336	9439
124	1344	9413
125	1353	9386
126	1362	9366
127	1371	9342
128	1379	9314
129	1390	9307
130	1404	9314
131	1417	9317
132	1428	9309
133	1441	9316
134	1456	9334
135	1470	9341
136	1484	9348
137	1496	9350
138	1504	9320
139	1513	9294
140	1521	9267
141	1529	9244
142	1537	9214
143	1545	9186
144	1553	9158
145	1561	9131
146	1569	9104
147	1579	9092
148	1588	9074
149	1599	9065
150	1621	9117
151	1639	9146
152	1656	9172
153	1675	9205
154	1690	9216
155	1697	9182
156	1708	9173
157	1716	9147
158	1724	9121
159	1731	9090
160	1739	9063
161	1749	9049
162	1756	9019
163	1763	8987
164	1769	8956
165	1776	8927
166	1785	8904
167	1794	8888
168	1809	8899
169	1821	8892
170	1832	8883
171	1842	8870
172	1849	8842
173	1859	8827
174	1871	8823
175	1885	8826
176	1896	8816
177	1906	8803
178	1913	8777
179	1921	8753
180	1929	8729
181	1938	8711
182	1945	8687
183	1955	8673
184	1964	8654
185	1972	8634
186	1982	8617
187	1990	8595
188	2001	8587
189	2013	8582
190	2024	8576
191	2037	8573
192	2051	8577
193	2062	8567
194	2075	8566
195	2088	8568
196	2100	8562
197	2107	8535
198	2116	8518
199	2123	8494
200	2131	8474
201	2139	8450
202	2146	8426
203	2152	8400
204	2159	8375
205	2166	8352
206	2174	8330
207	2181	8307
208	2189	8285
209	2196	8264
210	2204	8241
211	2213	8228
212	2225	8223
213	2236	8216
214	2249	8212
215	2258	8195
216	2270	8193
217	2283	8190
218	2296	8190
219	2311	8196
220	2322	8186
221	2336	8188
222	2350	8189
223	2360	8176
224	2373	8175
225	2384	8167
226	2397	8164
227	2405	8143
228	2418	8142
229	2433	8147
230	2449	8155
231	2464	8158
232	2475	8149
233	2488	8145
234	2502	8147
235	2513	8136
236	2520	8115
237	2528	8096
238	2535	8074
239	2543	8054
240	2550	8031
241	2557	8011
242	2564	7989
243	2571	7967
244	2578	7945
245	2585	7923
246	2591	7901
247	2598	7880
248	2606	7861
249	2617	7853
250	2630	7850
251	2645	7853
252	2661	7858
253	2676	7861
254	2691	7863
255	2705	7861
256	2713	7846
257	2723	7831
258	2730	7811
259	2738	7795
260	2745	7774
261	2752	7753
262	2759	7734
263	2767	7715
264	2774	7695
265	2782	7677
266	2789	7657
267	2796	7637
268	2803	7618
269	2812	7604
270	2823	7596
271	2838	7597
272	2852	7595
273	2865	7592
274	2878	7588
275	2894	7591
276	2908	7592
277	2919	7582
278	2926	7562
279	2934	7547
280	2942	7529
281	2951	7515
282	2958	7496
283	2965	7476
284	2972	7457
285	2979	7438
286	2986	7418
287	2993	7400
288	3000	7381
289	3007	7362
290	3017	7350
291	3023	7331
292	3035	7323
293	3048	7321
294	3064	7322
295	3080	7326
296	3091	7317
297	3104	7312
298	3115	7305
299	3123	7287
300	3131	7272
301	3140	7259
302	3161	7272
303	3176	7271
304	3185	7259
305	3192	7240
306	3199	7222
307	3206	7205
308	3216	7193
309	3229	7187
310	3244	7188
311	3257	7183
312	3269	7176
313	3285	7177
314	3300	7176
315	3315	7177
316	3327	7168
317	3339	7162
318	3351	7153
319	3359	7138
320	3366	7120
321	3373	7102
322	3379	7084
323	3388	7070
324	3396	7054
325	3404	7038
326	3415	7029
327	3429	7026
328	3445	7028
329	3463	7031
330	3479	7032
331	3489	7021
332	3497	7006
333	3509	6998
334	3523	6995
335	3533	6982
336	3542	6969
337	3549	6951
338	3557	6936
339	3564	6918
340	3571	6901
341	3578	6884
342	3585	6867
343	3591	6849
344	3599	6832
345	3606	6816
346	3613	6799
347	3620	6782
348	3627	6765
349	3638	6758
350	3654	6757
351	3670	6756
352	3682	6750
353	3695	6744
354	3708	6737
355	3721	6732
356	3736	6730
357	3743	6713
358	3752	6699
359	3759	6682
360	3766	6667
361	3773	6651
362	3780	6634
363	3787	6617
364	3794	6601
365	3801	6585
366	3808	6569
367	3815	6552
368	3822	6536
369	3832	6524
370	3846	6520
371	3857	6512
372	3867	6501
373	3878	6491
374	3890	6484
375	3905	6481
376	3924	6485
377	3939	6482
378	3948	6469
379	3955	6454
