iter	Logloss
0	0.6868766174
1	0.6811894698
2	0.6755760666
3	0.6700951255
4	0.6653868304
5	0.6610207596
6	0.6564398326
7	0.6525869261
8	0.6486344396
9	0.6450904426
10	0.641576658
11	0.6386096908
12	0.6354380432
13	0.6324556288
14	0.6298199711
15	0.6271813833
16	0.6244199962
17	0.6222156395
18	0.6200521069
19	0.6179210007
20	0.6159338022
21	0.6140298924
22	0.6124832159
23	0.6106111631
24	0.6091886254
25	0.607526639
26	0.606106193
27	0.60489375
28	0.6036640505
29	0.6023973354
30	0.6010965639
31	0.5999848899
32	0.5988934818
33	0.5978354295
34	0.5966462538
35	0.5958848622
36	0.5949981618
37	0.5941848596
38	0.593345462
39	0.5924859753
40	0.5917146579
41	0.591006234
42	0.5903717064
43	0.5897002857
44	0.5891621078
45	0.5884395463
46	0.5878782868
47	0.5873534643
48	0.5867434075
49	0.586232891
50	0.5857538241
51	0.5852431467
52	0.5848221243
53	0.5844104968
54	0.5840038482
55	0.5836510613
56	0.5832982189
57	0.5828767743
58	0.5824986529
59	0.5820572379
60	0.5817720318
61	0.5813854612
62	0.5810374321
63	0.5807034397
64	0.5804680356
65	0.5800980184
66	0.5798309463
67	0.5794723549
68	0.57919372
69	0.5790152429
70	0.5787892231
71	0.5785510352
72	0.5783272044
73	0.5781357992
74	0.5779468069
75	0.5777006213
76	0.5774757285
77	0.577287509
78	0.5771494002
79	0.5769333727
80	0.5767342986
81	0.5765189364
82	0.5763747549
83	0.5762108895
84	0.5760200267
85	0.5758269825
86	0.5756721562
87	0.5755639637
88	0.5753924411
89	0.575220282
90	0.5751041146
91	0.5749829298
92	0.5748451092
93	0.5747157406
94	0.5745962751
95	0.5744967243
96	0.5743665662
97	0.5742396337
98	0.5740763784
99	0.5739525003
100	0.5738011834
101	0.5736299301
102	0.5734852084
103	0.5733645898
104	0.5732382018
105	0.5731076954
106	0.5729639961
107	0.5727914962
108	0.5727017314
109	0.5725873513
110	0.5724864314
111	0.572339264
112	0.572232985
113	0.5721158744
114	0.5719850654
115	0.571871599
116	0.5717636859
117	0.5716281466
118	0.5715490235
119	0.571414747
120	0.5713529713
121	0.5712805105
122	0.5711602029
123	0.5710649052
124	0.5709286733
125	0.5708175187
126	0.5707263271
127	0.5706177119
128	0.570470773
129	0.5703933437
130	0.5702801382
131	0.5701895017
132	0.570076944
133	0.5700182687
134	0.5699309188
135	0.5698348136
136	0.5697682668
137	0.5696627222
138	0.5695514428
139	0.5694988643
140	0.5694214753
141	0.5693089695
142	0.5692320254
143	0.569185208
144	0.5691265683
145	0.5690441212
146	0.5689375251
147	0.5688854454
148	0.5687830482
149	0.5686293251
150	0.5685033994
151	0.5684006473
152	0.5683180655
153	0.5682277815
154	0.5681521414
155	0.5680881114
156	0.568004705
157	0.5679237197
158	0.5678581465
159	0.567774278
160	0.5676745735
161	0.5675784877
162	0.5674643435
163	0.5673951617
164	0.5673159609
165	0.5672137655
166	0.5671398687
