iter	Logloss
0	0.6869865663
1	0.6813117722
2	0.6759707141
3	0.670731013
4	0.6661834919
5	0.6616281702
6	0.6576192947
7	0.6533142214
8	0.6500698522
9	0.6468021821
10	0.643696635
11	0.6408897053
12	0.6378058806
13	0.6348966317
14	0.6322699489
15	0.6299246834
16	0.6276841398
17	0.6257045496
18	0.6235600528
19	0.6217042977
20	0.6197575658
21	0.6179661278
22	0.6163929667
23	0.6147261491
24	0.6131164747
25	0.6116027301
26	0.6102173064
27	0.6088350234
28	0.6075238727
29	0.6061793293
30	0.6050960012
31	0.6040850203
32	0.6030237768
33	0.6019991948
34	0.601266254
35	0.600298714
36	0.5995255748
37	0.5986568873
38	0.5977738615
39	0.5969764115
40	0.5962833803
41	0.5955687324
42	0.5947665754
43	0.5941740059
44	0.5933855545
45	0.5926410123
46	0.5920672378
47	0.5915357215
48	0.5909598671
49	0.5904364326
50	0.5899407131
51	0.5895727117
52	0.5892089081
53	0.588825046
54	0.5883219079
55	0.5880473702
56	0.5877185871
57	0.5874039171
58	0.5870382212
59	0.5866476033
60	0.5863629784
61	0.5860913669
62	0.5856695514
63	0.5853299561
64	0.584980134
65	0.5847545361
66	0.5844440943
67	0.5841334267
68	0.5839606503
69	0.583729542
70	0.5834695557
71	0.5833037338
72	0.583058593
73	0.5828699111
74	0.5826377967
75	0.5823908283
76	0.5822076891
77	0.5820022322
78	0.581826103
79	0.5815928793
80	0.5813906385
81	0.5811660192
82	0.5809601299
83	0.5807641561
84	0.580571134
85	0.5804110105
86	0.5801824512
87	0.5800376974
88	0.5798711419
89	0.5797395075
90	0.5795873337
91	0.5794442168
92	0.5793069412
93	0.579153822
94	0.5789411959
95	0.5788271469
96	0.5787192661
97	0.5786021
98	0.5784772546
99	0.5783466469
100	0.5782214387
101	0.5780600228
102	0.5778953135
103	0.5777666275
104	0.5776272075
105	0.5775366598
106	0.5774191661
107	0.5773267673
108	0.5772388421
109	0.5771558114
110	0.577053943
111	0.5769621938
112	0.5768356773
113	0.5767153001
114	0.5766493524
115	0.5765393698
116	0.5764055464
117	0.5763045709
118	0.5761899253
119	0.5760797421
120	0.575996797
121	0.5758687452
122	0.5757913972
123	0.5756477208
124	0.5755464373
125	0.5754554044
126	0.5753667937
127	0.5752981908
128	0.5752174529
129	0.5751425298
130	0.5750438835
131	0.5749274718
132	0.5748477222
133	0.5747595594
134	0.5746853983
135	0.5745266456
136	0.5743840175
137	0.5743286893
138	0.5742378172
139	0.5741588595
140	0.5740712522
141	0.5739812862
142	0.5738868539
143	0.5737768181
144	0.5736843982
145	0.5736218922
146	0.5734991122
147	0.5734050992
148	0.5733200247
149	0.5732194997
150	0.5731380376
151	0.5730616611
152	0.5729747454
153	0.5729309491
154	0.5728317042
155	0.5727417731
156	0.5726793313
157	0.5726136301
158	0.5725655627
159	0.5724990573
160	0.5724545634
161	0.5723463515
162	0.5722761502
163	0.5721946423
164	0.5721152679
165	0.5720127907
166	0.5719662394
167	0.5719033272
168	0.5718098857
169	0.5717430863
170	0.571683035
171	0.5715797116
172	0.5715101979
173	0.5714667478
174	0.571383893
175	0.5713270951
176	0.571237732
177	0.5711670951
178	0.5711027434
179	0.5710734583
180	0.5710317976
181	0.5708856141
182	0.5708158632
183	0.5707420843
184	0.5706628485
185	0.5706096736
186	0.5705330203
187	0.5704701828
188	0.5703962534
189	0.5703050953
190	0.5702621518
191	0.5701854965
192	0.5701238294
193	0.5700689518
194	0.5700039118
195	0.5699516456
196	0.5698569701
197	0.5698080772
198	0.5697304788
199	0.5696566619
200	0.5695455109
201	0.5694953687
202	0.5694427213
203	0.5693632394
204	0.5692961476
205	0.5691936339
206	0.5691096548
207	0.5690328559
208	0.5689777762
209	0.5689180481
210	0.5688889842
211	0.5687967504
212	0.5687482369
213	0.5686534591
214	0.5686043423
215	0.5685309561
216	0.5684436469
217	0.5683865193
218	0.5683134061
219	0.5682677197
220	0.5681992325
221	0.5681412343
222	0.5680716331
223	0.5680022815
224	0.567896931
225	0.5678295155
226	0.5677594024
227	0.5677097199
228	0.5676474192
229	0.5675874251
230	0.5675031884
231	0.5674716451
232	0.5674087135
233	0.5673715883
234	0.5673015159
235	0.567256978
236	0.5671702705
237	0.5671361375
238	0.5670796148
239	0.5670395458
240	0.5669789169
241	0.5669024518
242	0.5668656763
243	0.5668147722
244	0.5667683385
245	0.5667144163
246	0.5666582995
247	0.5666136681
248	0.566562475
249	0.5664896995
250	0.5664588292
251	0.5664098375
252	0.5663712163
253	0.56628429
254	0.5662276527
255	0.5661894863
256	0.5661613294
257	0.5661049826
258	0.5660425937
259	0.565979432
260	0.5659125951
261	0.5658414153
262	0.5657518172
263	0.5656551182
264	0.5655533101
265	0.5654555023
266	0.5653863571
267	0.5652931582
268	0.5651781545
269	0.5651149405
270	0.5650983194
271	0.5650536226
272	0.5649414636
273	0.5648777081
274	0.5647842678
275	0.5647381416
276	0.5646785204
277	0.5645900475
278	0.5645205636
279	0.5644253401
280	0.5643629687
281	0.5642845121
282	0.5642153064
283	0.5641608345
284	0.5640815179
285	0.5640372631
286	0.5639644891
287	0.5639050596
288	0.5638732455
289	0.5638559233
290	0.5637492596
291	0.5637155815
292	0.5636743207
293	0.5636210021
294	0.5635929064
295	0.5635167978
296	0.5634085955
297	0.5633381807
298	0.5632930482
299	0.5632529614
300	0.5632200086
301	0.5631683382
302	0.5630995427
303	0.5630661693
304	0.563008813
305	0.5629721518
306	0.5628652478
307	0.5628194823
308	0.5627655577
309	0.5626954746
310	0.562640665
311	0.5625712734
312	0.5624998113
313	0.5624582368
314	0.5623981305
315	0.5623765842
316	0.5623138126
317	0.5622207908
318	0.5621572554
319	0.5620843936
320	0.5620566333
321	0.5619717002
322	0.561902888
323	0.5618362167
324	0.5617802679
325	0.5617147446
326	0.5616618029
327	0.5616087429
328	0.5615429944
329	0.5614521989
330	0.561402075
331	0.5613422164
332	0.5613329901
333	0.5612632572
334	0.561179032
335	0.5611330063
336	0.561060557
337	0.5609930833
338	0.5609376848
339	0.5608872811
340	0.5607774534
341	0.5607129363
342	0.5606315688
343	0.5605728798
344	0.560488646
345	0.5603975876
346	0.5603336408
347	0.560257738
348	0.5601637393
349	0.560082569
350	0.5600445994
351	0.5599627051
352	0.5599116166
353	0.5598184825
354	0.5597272854
355	0.5596733648
356	0.5596461989
357	0.5595896122
358	0.5595367825
359	0.5594278416
360	0.5593612655
361	0.5592962462
362	0.5592372144
363	0.5591501741
364	0.5591080328
365	0.5590292406
366	0.5589326194
367	0.558879336
368	0.5588154322
369	0.5587390233
370	0.5586580593
371	0.5586269489
372	0.5585776604
373	0.5585144697
374	0.5584444759
375	0.5583633437
376	0.5582961226
377	0.5582278176
378	0.5581812602
379	0.5581102678
380	0.5579886708
381	0.5579471052
382	0.5578684754
383	0.5578042442
384	0.5577032521
385	0.557592469
386	0.5575031565
387	0.5574380455
388	0.5573518554
389	0.5572940623
390	0.557229763
391	0.5571537981
392	0.5570787426
393	0.5570198899
394	0.556933239
395	0.5568630539
396	0.5567734131
397	0.5567069161
398	0.556639789
399	0.5565438962
400	0.5565218066
401	0.5564586784
402	0.5564145063
403	0.556320308
404	0.5562563535
405	0.5561975982
406	0.5561521262
407	0.5560779478
408	0.5560061108
409	0.5559387778
410	0.5558202625
411	0.5557282672
412	0.5556222109
413	0.5555325189
414	0.5554135123
415	0.5553238579
416	0.5552145498
417	0.5551127291
418	0.5550422832
419	0.5549408532
420	0.5548505146
421	0.5547698476
422	0.554697052
423	0.5546267133
424	0.5545670072
425	0.5544954743
426	0.5544475152
427	0.554374202
428	0.5543092459
429	0.5542497769
430	0.5542073394
431	0.5541142158
432	0.5540218512
433	0.5540069956
434	0.5538986854
435	0.5538247954
436	0.5537747741
437	0.553675715
438	0.5536091591
439	0.5535362822
440	0.5534864273
441	0.5534067985
442	0.5533291677
443	0.5532985794
444	0.5532137864
445	0.5531416947
446	0.5530781291
447	0.5530113434
448	0.5529841082
449	0.5528933832
450	0.5528070788
451	0.5527272048
452	0.5526413701
453	0.5525986095
454	0.5525257883
455	0.5524686221
456	0.5524157058
457	0.5523115514
458	0.5522339302
459	0.5521576972
460	0.5520926647
461	0.5520070116
462	0.5519529446
463	0.5518832004
464	0.5518126693
465	0.5517592109
466	0.551694021
467	0.5516576298
468	0.5515864747
469	0.5515244111
470	0.5514625033
471	0.5514136728
472	0.5513974668
473	0.5513821842
474	0.5513035987
475	0.5512307694
476	0.5511767014
477	0.5511083944
478	0.5510666851
479	0.5509906853
480	0.5509233365
481	0.5508711733
482	0.5507906957
483	0.5507285315
484	0.5506557191
485	0.5505462965
486	0.5504511018
487	0.5503985
488	0.5503521043
489	0.5502689733
490	0.5501952939
491	0.5501302808
492	0.550053123
493	0.5499786072
494	0.5499269164
495	0.5498563008
496	0.5498218068
497	0.5497693508
498	0.5497652809
499	0.5497276618
500	0.5496596285
501	0.5495874107
502	0.5495260334
503	0.5494537643
504	0.5493900389
505	0.549319998
506	0.5492566353
507	0.549185925
508	0.5491130983
509	0.5490305612
510	0.548952916
511	0.5488809375
512	0.5488494133
513	0.5487969792
514	0.5487577035
515	0.5487038032
516	0.5486468268
517	0.5485668336
518	0.5484866127
519	0.5484232466
520	0.5483296935
521	0.5482527766
522	0.5481527849
523	0.5480488466
524	0.5479958583
525	0.5479497134
526	0.5479161367
527	0.5478485022
528	0.5477798378
529	0.5477046571
530	0.5476201871
531	0.5475483589
532	0.5475079882
533	0.5474306291
534	0.5473729611
535	0.5472936595
536	0.5472066745
537	0.54709079
538	0.5470077328
539	0.5469389539
540	0.5468547819
541	0.5468099978
542	0.5467207071
543	0.5466394372
544	0.5465732328
545	0.5464825383
546	0.5463886157
547	0.5463574544
548	0.5462832953
549	0.5461873295
550	0.5461078267
551	0.5460482894
552	0.5459850178
553	0.5459189017
554	0.5458442052
555	0.5457805875
556	0.5457298283
557	0.5457116711
558	0.5456296872
559	0.5455790955
560	0.5455497085
561	0.5454742753
562	0.5454062766
563	0.5453411268
564	0.5453038063
565	0.5452800519
566	0.5452509947
567	0.5452201743
568	0.5451526435
569	0.5451099227
570	0.5450213929
571	0.5449693621
572	0.5448715497
573	0.5448199648
574	0.5447646716
575	0.5447212085
576	0.5446374619
577	0.5445938658
578	0.5444920979
579	0.5444051711
580	0.5443265927
581	0.5442042092
582	0.5441051863
583	0.5440348
584	0.5439757944
585	0.5438927952
586	0.5438667436
587	0.5438201467
588	0.5437449871
589	0.5436534011
590	0.543617972
591	0.5435148885
592	0.5434734278
593	0.543452596
594	0.5433825531
595	0.5433237901
596	0.5432757171
597	0.5431932522
598	0.5431318071
599	0.5430926101
600	0.5430278185
601	0.5429588965
602	0.5429093457
603	0.5428567443
604	0.5427524221
605	0.5427210858
606	0.5426842032
607	0.5426274685
608	0.5426180875
609	0.5425982102
610	0.5425061558
611	0.5424488636
612	0.5423603044
613	0.5423485316
614	0.5422888108
615	0.5422373176
616	0.5421964235
617	0.5421450604
618	0.5420747744
619	0.5419954531
620	0.5419576321
621	0.5419175598
622	0.5418934879
623	0.5417764614
624	0.5416969107
625	0.5416290445
626	0.5415818248
627	0.5414722264
628	0.5413767083
629	0.5413165372
630	0.5411721164
631	0.5411019869
632	0.5410249521
633	0.5409526367
634	0.5408852823
635	0.5407993889
636	0.5407565402
637	0.540696852
638	0.5406353672
639	0.5405531396
640	0.5404952795
641	0.5404458007
642	0.5403547636
643	0.5402780983
644	0.5402269782
645	0.5402168923
646	0.5401143533
647	0.5400351405
648	0.5399725201
649	0.5398914246
650	0.5398198117
651	0.539768404
652	0.5397401999
653	0.5396891055
654	0.5396253032
655	0.5395718956
656	0.5395007759
657	0.5394104429
658	0.5393533238
659	0.5392864869
660	0.5392061248
661	0.5391638994
662	0.5391051593
663	0.5390292988
664	0.5389861645
665	0.5388757719
666	0.5388458416
667	0.538827265
668	0.5387815276
669	0.5386948776
670	0.5386302941
671	0.5385550626
672	0.5384589794
673	0.5383764475
674	0.5382812317
675	0.5382051539
676	0.5381663756
677	0.5381155771
678	0.5380604604
679	0.5379950754
680	0.5379223862
681	0.5378912862
682	0.537866153
683	0.537815637
684	0.5377606728
685	0.537720291
