iter	Passed	Remaining
0	8	8780
1	16	8027
2	24	8053
3	32	8168
4	41	8338
5	52	8641
6	60	8607
7	68	8448
8	75	8298
9	82	8118
10	88	7965
11	96	7944
12	102	7785
13	108	7651
14	115	7554
15	120	7412
16	127	7366
17	134	7310
18	140	7277
19	148	7256
20	154	7211
21	163	7265
22	169	7206
23	178	7242
24	185	7216
25	193	7230
26	199	7188
27	206	7172
28	214	7180
29	223	7219
30	231	7250
31	243	7362
32	250	7354
33	261	7423
34	272	7511
35	282	7553
36	291	7593
37	300	7605
38	310	7649
39	318	7648
40	325	7618
41	331	7570
42	339	7549
43	345	7516
44	352	7488
45	359	7456
46	366	7427
47	373	7400
48	378	7350
49	385	7326
50	392	7298
51	399	7279
52	406	7265
53	418	7335
54	428	7358
55	439	7404
56	451	7464
57	460	7477
58	471	7519
59	482	7563
60	491	7568
61	502	7604
62	512	7617
63	519	7596
64	526	7567
65	533	7550
66	540	7522
67	547	7500
68	554	7476
69	560	7445
70	567	7424
71	574	7399
72	581	7380
73	587	7351
74	594	7327
75	601	7308
76	608	7298
77	620	7338
78	632	7374
79	641	7377
80	651	7394
81	663	7422
82	672	7431
83	684	7466
84	696	7498
85	705	7500
86	714	7501
87	721	7477
88	729	7464
89	735	7441
90	743	7424
91	750	7402
92	756	7381
93	764	7363
94	770	7340
95	777	7322
96	784	7302
97	791	7284
98	797	7261
99	804	7239
100	812	7234
101	826	7279
102	843	7344
103	858	7399
104	870	7420
105	888	7496
106	905	7555
107	920	7598
108	930	7608
109	942	7623
110	952	7626
111	962	7630
112	971	7623
113	981	7625
114	989	7615
115	1000	7624
116	1012	7638
117	1028	7687
118	1042	7721
119	1057	7758
120	1076	7817
121	1093	7869
122	1112	7933
123	1126	7956
124	1137	7959
125	1145	7943
126	1153	7928
127	1161	7915
128	1173	7920
129	1185	7930
130	1195	7929
131	1207	7937
132	1217	7934
133	1230	7954
134	1248	7998
135	1261	8015
136	1278	8050
137	1292	8071
138	1307	8101
139	1318	8101
140	1325	8076
141	1333	8057
142	1340	8032
143	1347	8007
144	1354	7984
145	1360	7957
146	1367	7934
147	1378	7935
148	1385	7912
149	1392	7890
150	1399	7868
151	1405	7843
152	1413	7822
153	1424	7826
154	1439	7847
155	1453	7863
156	1464	7865
157	1473	7853
158	1485	7858
159	1496	7854
160	1505	7845
161	1515	7840
162	1522	7816
163	1530	7799
164	1536	7775
165	1543	7752
166	1549	7729
167	1556	7707
168	1562	7684
169	1569	7662
170	1575	7640
171	1582	7618
172	1588	7594
173	1595	7573
174	1601	7551
175	1608	7530
176	1619	7528
177	1629	7524
178	1639	7521
179	1649	7512
180	1660	7515
181	1674	7525
182	1683	7515
183	1694	7516
184	1703	7503
185	1715	7505
186	1722	7489
187	1729	7469
188	1735	7449
189	1743	7433
190	1750	7413
191	1757	7395
192	1763	7375
193	1771	7358
194	1778	7340
195	1784	7320
196	1791	7302
197	1797	7282
198	1804	7264
199	1811	7246
200	1818	7228
201	1828	7223
202	1838	7216
203	1848	7213
204	1859	7210
205	1869	7205
206	1879	7199
207	1891	7204
208	1903	7204
209	1912	7192
210	1922	7188
211	1929	7170
212	1936	7154
213	1942	7135
214	1949	7117
215	1956	7101
216	1963	7083
217	1970	7068
218	1976	7049
219	1983	7033
220	1990	7015
221	1996	6998
222	2003	6981
223	2010	6963
224	2017	6948
225	2024	6933
226	2033	6923
227	2042	6915
228	2054	6915
229	2066	6917
230	2077	6917
231	2087	6908
232	2096	6902
233	2106	6895
234	2117	6893
235	2127	6887
236	2137	6880
237	2144	6864
238	2151	6849
239	2158	6833
240	2165	6819
241	2172	6804
242	2181	6797
243	2188	6781
244	2195	6767
245	2203	6753
246	2211	6740
247	2217	6725
248	2225	6712
249	2232	6698
250	2246	6702
251	2255	6694
252	2269	6699
253	2282	6702
254	2293	6699
255	2301	6690
256	2312	6684
257	2322	6680
258	2333	6674
259	2343	6668
260	2349	6653
261	2356	6639
262	2363	6623
263	2371	6612
264	2378	6596
265	2385	6582
266	2393	6571
267	2400	6557
268	2408	6544
269	2415	6530
270	2422	6516
271	2429	6502
272	2438	6495
273	2453	6499
274	2465	6499
275	2477	6498
276	2488	6495
277	2496	6483
278	2507	6480
279	2518	6476
280	2528	6470
281	2538	6463
282	2545	6449
283	2553	6438
284	2561	6425
285	2568	6412
286	2575	6398
287	2583	6386
288	2590	6372
289	2596	6357
290	2605	6346
291	2611	6332
292	2618	6319
293	2625	6305
294	2633	6293
295	2642	6284
296	2654	6282
297	2666	6280
298	2676	6275
299	2688	6272
300	2698	6266
301	2708	6259
302	2718	6253
303	2729	6249
304	2737	6238
305	2746	6229
306	2753	6216
307	2760	6201
308	2768	6191
309	2775	6178
310	2782	6165
311	2790	6152
312	2798	6141
313	2805	6129
314	2813	6117
315	2819	6103
316	2827	6092
317	2838	6086
318	2848	6081
319	2860	6078
320	2873	6077
321	2886	6078
322	2900	6079
323	2915	6082
324	2929	6085
325	2938	6075
326	2947	6065
327	2953	6052
328	2962	6041
329	2969	6029
330	2976	6016
331	2983	6003
332	2991	5992
333	2999	5980
334	3007	5969
335	3013	5956
336	3020	5942
